bucket,dept,equip_no,name,hierarchy_path,display_label
shared,instrument2,TCV-502B,TCV-502B (Boiler Spray Water Bypass Temp. control valve for DSH-502),Power Plant > 150TPH BLR > Instrumentation & Control Valves > TCV-502B,
shared,instrument2,TCV-509A,TCV-509A,Power Plant > 150TPH BLR > Instrumentation & Control Valves > TCV-509A,
shared,instrument2,TCV-509A NEW,TCV-509A,Power Plant > 150TPH BLR > Instrumentation & Control Valves > TCV-509A NEW,
shared,instrument2,TCV-510A,TCV-510B,Power Plant > 150TPH BLR > Instrumentation & Control Valves > TCV-510A,
shared,instrument2,TCV-511A,TCV-511A/SPRAY WATER TCV FOR 110/8 ATA AUX. STEAM PRDS,Power Plant > 150TPH BLR > Instrumentation & Control Valves > TCV-511A,
shared,instrument2,TCV-511A NEW,TCV-511A,Power Plant > 150TPH BLR > Instrumentation & Control Valves > TCV-511A NEW,
shared,instrument2,TCV-511B,TCV-511B/SPRAY WATER TCV FOR 110/8 ATA AUX. STEAM PRDS,Power Plant > 150TPH BLR > Instrumentation & Control Valves > TCV-511B,
shared,instrument2,TCV-604A,TCV-604A (Spray Water Control Valve For 110/45 ATA Steam PRDS),Power Plant > 150TPH BLR > Instrumentation & Control Valves > TCV-604A,
old_only,electrical,ZIL/GSM/PP/15,ACOP,,
old_only,electrical,ZIL/GSM/PP/15,AOP,,
old_only,electrical,ZIL/GSM/PP/15,CEP No.-3,,
old_only,electrical,ZIL/GSM/PP/15,EOP,,
old_only,electrical,ZIL/GSM/PP/15,MCOP,,
old_only,electrical,ZIL/GSM/PP/26,MCW pump -2,,
old_only,electrical,ZIL/GSM/PP/27,MCW Pump-3,,
old_only,electrical,ZIL/GSM/PP/28,ACW Pump -1,,
old_only,electrical,ZIL/GSM/PP/29,ACW Pump-2,,
old_only,electrical,ZIL/GSM/PP/30,ACW Pump -3,,
old_only,electrical,ZIL/GSM/PP/30,CT Fan No.-2,,
old_only,electrical,ZIL/GSM/PP/30,Inst.Air Comp.-2,,
old_only,instrument,CBD-03,CBD-03 (CBD ISO MOV),,
old_only,instrument,IBD-03,IBD-03 (IBD ISO MOV),,
old_only,instrument,MOV-102,MOV-102 (Bleed-2 to ejector MOV),,
old_only,instrument,MOV-201,MOV-201 (CEP-A discharge MOV),,
old_only,instrument,MOV-202,MOV-202 (CEP-B discharge MOV),,
old_only,instrument,MOV-203,MOV-203 (CEP-C discharge MOV),,
old_only,instrument,MOV-402,MOV-402 (Steam to standby hogger ejector MOV),,
old_only,instrument,MOV-403,MOV-403 (Steam to Y1 ejector MOV),,
old_only,instrument,MOV-404,MOV-404 (Air to hogger ejector MOV),,
old_only,instrument,MOV-405,MOV-405 (Air to standby hogger ejector MOV),,
old_only,instrument,MOV-406,MOV-406 (Condensate to hogger ejector MOV),,
old_only,instrument,MOV-407,MOV-407 (Condensate to standby hogger ejector MOV),,
old_only,instrument,MOV-408,MOV-408 (Condensate to Y1 ejector MOV),,
old_only,instrument,MS-103,MS-103 (LTSH outlet drain MOV),,
old_only,instrument,MS-105,MS-105 (RSH outlet drain MOV),,
old_only,instrument,MS-109,MS-109 (FSH outlet drain MOV),,
old_only,instrument,MS-20,MS-20 (DSH-501 outlet drain MOV),,
old_only,instrument,MS-24,MS-24 (DSH-502 outlet drain MOV),,
old_only,instrument,MS-27A,MS-27A (EMRV inlet integral iso MOV),,
old_only,instrument,MS-44,MS-44 (Main steam line bypass iso MOV),,
old_only,instrument,MS-67,MS-67 (TG inlet bypass iso MOV),,
old_only,instrument,PCW-13,PCW-13 (MCWP-A),,
old_only,instrument,PCW-14,PCW-14 (MCWP-B),,
old_only,instrument,PCW-15,PCW-15 (MCWP-C),,
old_only,instrument,PCW-42,PCW-42 (ACWP-A),,
old_only,instrument,PCW-43,PCW-43 (ACWP-B),,
old_only,instrument,PCW-44,PCW-44 (ACWP-C),,
old_only,instrument,PFW-133A,PFW-133A (Economiser inlet integral iso MOV),,
old_only,instrument,PFW-264,PFW-264 (BFP-D Discharge ISO MOV),,
old_only,instrument,PFW-62,PFW-62 (BFP-A Discharge ISO MOV),,
old_only,instrument,PFW-63,PFW-63 (BFP-B Discharge ISO MOV),,
old_only,instrument,PFW-64,PFW-64 (BFP-C Discharge ISO MOV),,
new_only,,,,Power Plant > 150TPH BLR > Ash Handling System > Ash Silo,Ash Silo
new_only,,,,Power Plant > 150TPH BLR > Ash Handling System > Bag Filters,Bag Filters
new_only,,,,Power Plant > 150TPH BLR > Ash Handling System > Dense Phase System -1,Dense Phase System -1
new_only,,,,Power Plant > 150TPH BLR > Ash Handling System > Dense Phase System -2,Dense Phase System -2
new_only,,,,Power Plant > 150TPH BLR > Ash Handling System > Dense Phase System -3,Dense Phase System -3
new_only,,,,Power Plant > 150TPH BLR > Ash Handling System > Dense Phase System -4,Dense Phase System -4
new_only,,,,Power Plant > 150TPH BLR > Ash Handling System > Submerged Belt,Submerged Belt
new_only,,,,Power Plant > 150TPH BLR > Ash Handling System > Valves & Pipes,Valves & Pipes
new_only,,,,Power Plant > 150TPH BLR > Auxiliary Equipment > LP-01,LP-01
new_only,,,,Power Plant > 150TPH BLR > Auxiliary Equipment > LP-02,LP-02
new_only,,,,Power Plant > 150TPH BLR > Fuel Feeding System > Drum Feeder-01,Drum Feeder-01
new_only,,,,Power Plant > 150TPH BLR > Fuel Feeding System > Drum Feeder-02,Drum Feeder-02
new_only,,,,Power Plant > 150TPH BLR > Fuel Feeding System > Drum Feeder-03,Drum Feeder-03
new_only,,,,Power Plant > 150TPH BLR > Fuel Feeding System > Drum Feeder-04,Drum Feeder-04
new_only,,,,Power Plant > 150TPH BLR > Fuel Feeding System > Drum Feeder-05,Drum Feeder-05
new_only,,,,Power Plant > 150TPH BLR > Fuel Feeding System > Drum Feeder-06,Drum Feeder-06
new_only,,,,Power Plant > 150TPH BLR > Fuel Feeding System > Screw Feeder-01,Screw Feeder-01
new_only,,,,Power Plant > 150TPH BLR > Fuel Feeding System > Screw Feeder-02,Screw Feeder-02
new_only,,,,Power Plant > 150TPH BLR > Fuel Feeding System > Screw Feeder-03,Screw Feeder-03
new_only,,,,Power Plant > 150TPH BLR > Fuel Feeding System > Screw Feeder-04,Screw Feeder-04
new_only,,,,Power Plant > 150TPH BLR > Fuel Feeding System > Screw Feeder-05,Screw Feeder-05
new_only,,,,Power Plant > 150TPH BLR > Fuel Feeding System > Screw Feeder-06,Screw Feeder-06
new_only,,,,Power Plant > 150TPH BLR > Fuel Handling System (Phase-2) > New Belt Conveyor -01,New Belt Conveyor -01
new_only,,,,Power Plant > 150TPH BLR > Fuel Handling System (Phase-2) > New Belt Conveyor -02,New Belt Conveyor -02
new_only,,,,Power Plant > 150TPH BLR > Fuel Handling System (Phase-2) > New Belt Conveyor -03,New Belt Conveyor -03
new_only,,,,Power Plant > 150TPH BLR > Fuel Handling System (Phase-2) > New Belt Conveyor -04,New Belt Conveyor -04
new_only,,,,Power Plant > 150TPH BLR > Fuel Handling System (Phase-2) > New Belt Conveyor -05,New Belt Conveyor -05
new_only,,,,Power Plant > 150TPH BLR > Fuel Handling System (Phase-2) > New Belt Conveyor -06,New Belt Conveyor -06
new_only,,,,Power Plant > 150TPH BLR > Fuel Handling System (Phase-2) > New Belt Conveyor -07,New Belt Conveyor -07
new_only,,,,Power Plant > 150TPH BLR > Pressure Parts > Main Steam Line Safety Valves,Main Steam Line Safety Valves
new_only,,,,Power Plant > 150TPH BLR > Pressure Parts > Riser Tubes,Riser Tubes
new_only,,,,Power Plant > 150TPH BLR > Pressure Parts > Steam Drum Safety Valves-1,Steam Drum Safety Valves-1
new_only,,,,Power Plant > 150TPH BLR > Pressure Parts > Steam Drum Safety Valves-2,Steam Drum Safety Valves-2
new_only,,,,Power Plant > 150TPH BLR > Pressure Parts > Water Wall Tubes,Water Wall Tubes
new_only,,,,Power Plant > 30.85MW STG > Condenser > Surface Condenser,Surface Condenser
new_only,,,,Power Plant > 30.85MW STG > Turbine > Extraction QCNRV-1,Extraction QCNRV-1
new_only,,,,Power Plant > 30.85MW STG > Turbine > Extraction QCNRV-2,Extraction QCNRV-2
new_only,,,,Power Plant > 70TPH BLR > Ash Handling System > Ash Clarifier,Ash Clarifier
new_only,,,,Power Plant > 70TPH BLR > Ash Handling System > Ash Drag Conveyor,Ash Drag Conveyor
new_only,,,,Power Plant > 70TPH BLR > Ash Handling System > Back Wash Pump,Back Wash Pump
new_only,,,,Power Plant > 70TPH BLR > Ash Handling System > Injection Pump No.1,Injection Pump No.1
new_only,,,,Power Plant > 70TPH BLR > Ash Handling System > Injection Pump No.2,Injection Pump No.2
new_only,,,,Power Plant > 70TPH BLR > Ash Handling System > Injection Pump No.3,Injection Pump No.3
new_only,,,,Power Plant > 70TPH BLR > Ash Handling System > Sludge Pits,Sludge Pits
new_only,,,,Power Plant > 70TPH BLR > Ash Handling System > Slurry Pump No.1,Slurry Pump No.1
new_only,,,,Power Plant > 70TPH BLR > Ash Handling System > Slurry Pump No.2,Slurry Pump No.2
new_only,,,,Power Plant > 70TPH BLR > Ash Handling System > Slurry Pump No.3,Slurry Pump No.3
new_only,,,,Power Plant > 70TPH BLR > Ash Handling System > Valves & Pipes,Valves & Pipes
new_only,,,,Power Plant > 70TPH BLR > Ash Handling System > Wet Scrubber No.1,Wet Scrubber No.1
new_only,,,,Power Plant > 70TPH BLR > Ash Handling System > Wet Scrubber No.2,Wet Scrubber No.2
new_only,,,,Power Plant > 70TPH BLR > Auxiliary Equipment > Air Preheater,Air Preheater
new_only,,,,Power Plant > 70TPH BLR > Auxiliary Equipment > Bagasse Blower Fan -01,Bagasse Blower Fan -01
new_only,,,,Power Plant > 70TPH BLR > Auxiliary Equipment > Bagasse Blower Fan -02,Bagasse Blower Fan -02
new_only,,,,Power Plant > 70TPH BLR > Auxiliary Equipment > Bagasse Blower Fan -03,Bagasse Blower Fan -03
new_only,,,,Power Plant > 70TPH BLR > Auxiliary Equipment > De-super Heating Pump -1,De-super Heating Pump -1
new_only,,,,Power Plant > 70TPH BLR > Auxiliary Equipment > De-super Heating Pump -2,De-super Heating Pump -2
new_only,,,,Power Plant > 70TPH BLR > Auxiliary Equipment > Deaerator,Deaerator
new_only,,,,Power Plant > 70TPH BLR > Auxiliary Equipment > Feed Tank,Feed Tank
new_only,,,,Power Plant > 70TPH BLR > Auxiliary Equipment > Transfer Pump,Transfer Pump
new_only,,,,Power Plant > 70TPH BLR > Fuel Feeding System > Bagasse Feeder-01,Bagasse Feeder-01
new_only,,,,Power Plant > 70TPH BLR > Fuel Feeding System > Bagasse Feeder-02,Bagasse Feeder-02
new_only,,,,Power Plant > 70TPH BLR > Fuel Feeding System > Bagasse Feeder-03,Bagasse Feeder-03
new_only,,,,Power Plant > 70TPH BLR > Fuel Feeding System > Bagasse Feeder-04,Bagasse Feeder-04
new_only,,,,Power Plant > 70TPH BLR > Fuel Feeding System > Bagasse Feeder-05,Bagasse Feeder-05
new_only,,,,Power Plant > 70TPH BLR > Fuel Feeding System > Bagasse Feeder-06,Bagasse Feeder-06
new_only,,,,Power Plant > 70TPH BLR > Pressure Parts > Bank Zone Tubes,Bank Zone Tubes
new_only,,,,Power Plant > 70TPH BLR > Pressure Parts > Economizer,Economizer
new_only,,,,Power Plant > 70TPH BLR > Pressure Parts > Main Steam Line Safety Valves,Main Steam Line Safety Valves
new_only,,,,Power Plant > 70TPH BLR > Pressure Parts > MSV,MSV
new_only,,,,Power Plant > 70TPH BLR > Pressure Parts > Riser Tubes,Riser Tubes
new_only,,,,Power Plant > 70TPH BLR > Pressure Parts > Roof Tubes,Roof Tubes
new_only,,,,Power Plant > 70TPH BLR > Pressure Parts > Side Wall Tubes,Side Wall Tubes
new_only,,,,Power Plant > 70TPH BLR > Pressure Parts > Steam Drum,Steam Drum
new_only,,,,Power Plant > 70TPH BLR > Pressure Parts > Steam Drum Safety Valves-1,Steam Drum Safety Valves-1
