"Date";"Shift";"Sampling_time";"yard_bal";"crush";"imb_wtr";"imb_temp";"mixj_ds";"mixj_rs";"mol_ds";"mol_rs";"fcake_ds";"fcake_rs";"qty_dsl";"mesh_dsl";"bagtemp_dsl";"qty_dsm";"mesh_dsm";"bagtemp_dsm";"qty_dss";"mesh_dss";"bagtemp_dss";"qty_rsl";"mesh_rsl";"bagtemp_rsl";"qty_rsm";"mesh_rsm";"bagtemp_rsm";"qty_rss";"mesh_rss";"bagtemp_rss";"qty_p20";"bagtemp_p20";"qty_p30";"bagtemp_p30";"qty_p40";"bagtemp_p40";"FBDInlet_TempDS";"FBDInlet_MoistDS";"FBDOutlet_TempDS";"FBDOutlet_MoistDS";"Hopper_TempDS";"Hopper_MoistDS";"FBDInlet_TempRS";"FBDInlet_MoistRS";"FBDOutlet_TempRS";"FBDOutlet_MoistRS";"Hopper_TempRS";"Hopper_MoistRS";"RSDInlet_Temp";"RSDInlet_Moist";"RSDOutlet_Temp";"RSDOutlet_Moist";"timestamp"
"2024-01-19";"C";"7-8 AM";50000.0;65500.0;21760.0;76.0;55780.0;123.0;2920.0;650.0;2041.0;448.0;205.0;99.0;29.0;4614.0;97.0;33.0;431.0;91.0;32.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2024-01-20 09:33:28"
"2024-01-20";"C";"7-8 AM";41900.0;100500.0;38030.0;75.0;56160.0;53440.0;3480.0;2470.0;1957.0;1862.0;130.0;97.0;33.0;4777.0;97.0;35.0;518.0;99.0;32.0;637.0;98.0;33.0;3173.0;97.0;32.0;805.0;86.0;32.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2024-01-21 10:15:33"
"2024-01-21";"C";"7-8 AM";33500.0;102000.0;38330.0;75.0;56560.0;54400.0;2960.0;1820.0;1976.0;1900.0;105.0;95.0;29.0;4024.0;94.0;30.0;170.0;97.0;29.0;842.0;97.0;32.0;4047.0;96.0;33.0;875.0;82.0;32.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2024-01-22 09:23:24"
"2024-01-21";"A";"3-4 PM";0.0;0.0;0.0;75.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2024-01-22 09:26:05"
"2024-01-21";"C";"7-8 AM";0.0;0.0;0.0;75.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2024-01-22 09:26:32"
"2024-01-22";"C";"7-8 AM";27700.0;99000.0;37100.0;71.0;54600.0;53500.0;3480.0;1950.0;1900.0;1862.0;570.0;87.0;27.0;3520.0;96.0;34.0;390.0;85.0;29.0;540.0;98.0;33.0;3597.0;91.0;34.0;850.0;76.0;34.0;81.0;99.0;47.0;99.0;83.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2024-01-23 09:40:25"
"2024-01-23";"C";"7-8 AM";37400.0;92000.0;35200.0;71.0;51500.0;49310.0;3080.0;2145.0;1786.0;1710.0;165.0;99.0;29.0;3850.0;97.0;34.0;410.0;96.0;28.0;475.0;98.0;25.0;3220.0;96.0;35.0;1035.0;85.0;34.0;192.0;25.0;145.0;25.0;209.0;26.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2024-01-24 10:05:56"
"2024-01-24";"C";"7-8 AM";34200.0;101000.0;3838.0;72.0;55923.0;54827.0;2960.0;2080.0;1938.0;1900.0;425.0;91.0;29.0;3740.0;96.0;34.0;600.0;85.0;31.0;357.0;99.0;34.0;3795.0;94.0;33.0;1028.0;85.0;32.0;90.0;26.0;99.0;24.0;110.0;27.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2024-01-25 09:50:42"
"2024-01-25";"C";"7-8 AM";44500.0;92000.0;35810.0;73.0;51970.0;49760.0;3160.0;2405.0;1786.0;1710.0;245.0;87.0;31.0;4860.0;97.0;33.0;600.0;97.0;31.0;819.0;99.0;31.0;3025.0;98.0;33.0;835.0;79.0;32.0;175.0;29.0;125.0;28.0;236.0;28.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2024-01-26 11:05:13"
"2024-01-26";"C";"7-8 AM";34600.0;102000.0;38840.0;75.0;56367.0;55273.0;4480.0;715.0;1957.0;1919.0;330.0;95.0;29.0;4410.0;96.0;34.0;350.0;91.0;30.0;570.0;98.0;31.0;3450.0;94.0;35.0;980.0;82.0;32.0;95.0;0.0;115.0;0.0;95.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2024-01-27 09:48:39"
