"Date";"Shift";"Sampling_time";"CJ_Pol";"CJ_Brix";"FJ_Pol";"FJ_Brix";"UtrSyrp_Pol";"UtrSyrp_Brix";"RawMc_Pol";"RawMc_Brix";"R1Mc_Pol";"R1Mc_Brix";"R2Mc_Pol";"R2Mc_Brix";"BMc_Pol";"BMc_Brix";"CMc_Pol";"CMc_Brix";"AH_Mol_Pol";"AH_Mol_Brix";"AL_Mol_Pol";"AL_Mol_Brix";"R1_Mol_Pol";"R1_Mol_Brix";"R2_Mol_Pol";"R2_Mol_Brix";"BH_Mol_Pol";"BH_Mol_Brix";"CL_Mol_Pol";"CL_Mol_Brix";"FMol_Pol";"FMol_Brix";"FCake_Pol";"op_mode";"R1Mc_IU";"R2Mc_IU";"R1Mol_IU";"R2Mol_IU";"RawMlt_Pol";"RawMlt_Brix";"RawMlt_IU";"ClearMlt_Pol";"ClearMlt_Brix";"ClearMlt_IU";"Pol_FineLiqourMelt";"Brix_FineLiqourMelt";"IU_FineLiqourMelt";"IERInlet_IU";"IERInlet_PH";"IEROutlet_IU";"IEROutlet_PH";"timestamp"
"2023-12-14";"B";"9-10 PM";10.82;13.51;7.93;10.33;57.4;72.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28.2;87.0;1.96;"C Heavy";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2023-12-14 23:41:29"
"2023-12-14";"B";"11-12 AM";10.62;13.34;8.04;10.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"C Heavy";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2023-12-14 23:42:16"
"2023-12-14";"C";"2-3 AM";10.7;13.44;7.97;10.42;61.09;77.17;80.1;90.63;87.3;88.1;86.0;87.6;67.3;92.1;48.7;93.6;54.3;71.4;59.1;62.8;68.1;68.4;0.0;0.0;42.5;85.0;46.4;78.6;29.7;86.3;1.88;"C Heavy";566.0;0.0;0.0;0.0;64.3;65.2;790.0;60.7;61.4;492.0;59.6;60.1;238.0;0.0;0.0;309.0;7.22;"2023-12-15 07:22:59"
"2023-12-15";"A";"9-10 AM";10.96;13.67;7.78;10.17;57.1;71.7;80.19;90.6;85.6;88.2;0.0;0.0;68.1;92.2;48.9;96.3;57.0;74.8;58.2;61.6;70.1;72.4;0.0;0.0;39.5;83.7;48.8;77.8;28.76;88.0;1.95;"C Heavy";0.0;0.0;0.0;0.0;62.25;63.2;624.0;61.5;62.2;409.0;59.85;60.2;257.0;0.0;0.0;0.0;0.0;"2023-12-15 15:58:32"
"2023-12-15";"A";"11-12 AM";10.59;13.26;7.97;10.46;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"C Heavy";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2023-12-15 16:00:49"
"2023-12-15";"A";"1-2 PM";10.96;13.74;9.53;12.43;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.91;"C Heavy";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2023-12-15 16:02:06"
"2023-12-15";"A";"3-4 PM";10.91;13.51;9.04;11.76;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.2;90.3;0.0;"B Heavy";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2023-12-15 16:03:00"
"2023-12-15";"B";"5-6 PM";11.03;13.76;9.6;12.47;56.0;70.3;78.7;89.3;85.2;86.3;0.0;0.0;66.4;91.0;48.3;94.0;59.2;77.2;58.3;62.2;70.2;71.8;0.0;0.0;39.9;84.3;47.7;74.8;28.2;87.3;1.97;"C Heavy";0.0;0.0;0.0;0.0;57.8;58.8;630.0;57.1;57.8;439.0;57.3;57.8;187.0;0.0;0.0;0.0;0.0;"2023-12-15 23:49:02"
"2023-12-15";"B";"7-8 PM";10.6;13.32;9.35;12.22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"C Heavy";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2023-12-15 23:50:46"
"2023-12-15";"B";"9-10 PM";10.8;13.54;9.5;12.42;0.0;0.0;0.0;0.0;0.0;0.0;86.5;87.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.2;88.7;1.92;"C Heavy";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2023-12-15 23:52:26"
