"Date";"start_time";"end_Time";"section";"sub_section";"machinery";"category";"remarks";"created_at";"timestamp"
"2025-11-16";"2025-11-17 03:07:00";"2025-11-17 03:09:00";"Grid";"OTHERS";"N/A";"Electrical";"30.85 MW Tie breaker auto tripped due to grid fluctuation.";"2025-11-17 09:58:29";"2025-11-17 09:58:29"
"2025-11-18";"2025-11-18 11:30:00";"2025-11-18 14:40:00";"3MW Turbine (New)";"TURBINE & GENERATOR";"AVR Panel";"Electrical";"3MW New STG set Stopped for Digital AVR installation.";"2025-11-24 12:11:41";"2025-11-24 12:11:41"
"2025-11-18";"2025-11-18 18:53:00";"2025-11-18 19:51:00";"3MW Turbine (New)";"BOILER FEED WATER STATION";"Feed Water Pump-C";"Mechanical";" 3MW New manually tripped due to low steam pressure on a/c of drum level very low.";"2025-11-24 12:16:40";"2025-11-24 12:16:40"
"2025-11-18";"2025-11-18 18:53:00";"2025-11-18 19:28:00";"3MW Turbine (Old)";"BOILER FEED WATER STATION";"Feed Water Pump-C";"Mechanical";"3MW Old TG manually tripped due to low steam pressure on a/c of boiler steam drum level low.";"2025-11-24 12:19:06";"2025-11-24 12:19:06"
"2025-11-19";"2025-11-19 13:30:00";"2025-11-19 13:32:00";"Grid";"OTHERS";"N/A";"Electrical";"Grid Breaker auto tripped due to grid fluctuation.";"2025-11-24 12:22:26";"2025-11-24 12:22:26"
"2025-11-22";"2025-11-23 05:37:00";"2025-11-23 05:47:00";"Grid";"132 KV TRANSMISSION LINE";"N/A";"Electrical";"Grid breaker auto tripped due to Grid failure from Nighasan Substation.";"2025-11-24 12:25:36";"2025-11-24 12:25:36"
"2025-11-24";"2025-11-24 13:06:00";"2025-11-24 13:08:00";"Grid";"OTHERS";"Others";"Electrical";"30.85 MW Grid breaker auto tripped from 01:06PM to 01:08PM due to Grid fluctuation.";"2025-11-25 09:59:10";"2025-11-25 09:59:10"
"2025-11-24";"2025-11-24 20:30:00";"2025-11-24 20:31:00";"Grid";"OTHERS";"DCS Controller & IO cards";"Electrical";"30.85 MW Grid breaker auto tripped from 08:30PM to 08:31PM due to grid fluctuation.";"2025-11-25 10:00:45";"2025-11-25 10:00:45"
"2025-12-03";"2025-12-03 14:45:00";"2025-12-03 17:04:00";"30.85 MW Turbine";"FUEL HANDLING SYSTEM";"Slat chain Conveyor";"Mechanical";" 30.85 MW STG set manually Stopped due to problem in slat chain Fluid Coupling issue.";"2025-12-14 11:39:52";"2025-12-14 11:39:52"
"2025-12-03";"2025-12-03 10:20:00";"2025-12-03 15:58:00";"3MW Turbine (New)";"MILL - GENERAL CLEANING";"Others";"Other";"3MW New STG manually Stopped due to Mill Schedule General Cleaning.";"2025-12-14 11:42:07";"2025-12-14 11:42:07"
"2025-12-03";"2025-12-03 10:30:00";"2025-12-03 15:38:00";"3MW Turbine (Old)";"MILL - GENERAL CLEANING";"Others";"Other";"Old STG manually Stopped due to mill Schedule General Cleaning.";"2025-12-14 11:43:56";"2025-12-14 11:43:56"
"2025-12-03";"2025-12-03 08:45:00";"2025-12-03 15:58:00";"4MW Turbine";"FURNACE";"Furnace Tubes";"Mechanical";"4.00 MW STG Set manually Stopped due to  LHS water Wall panel leakage.";"2025-12-14 11:46:04";"2025-12-14 11:46:04"
"2025-12-07";"2025-12-07 21:00:00";"2025-12-07 21:10:00";"Grid";"132 KV TRANSMISSION LINE";"Others";"Electrical";"Grid breaker auto tripped due to Grid failed from Nighasan Substation. ";"2025-12-14 11:48:42";"2025-12-14 11:48:42"
"2025-12-14";"2025-12-14 14:24:00";"2025-12-14 14:26:00";"Grid";"OTHERS";"Others";"Electrical";"Grid breaker auto tripped due to Heavy jerk observed from grid side then Grid resumed and STG synced with grid.";"2025-12-20 10:15:38";"2025-12-20 10:15:38"
"2025-12-18";"2025-12-18 19:31:00";"2025-12-18 19:39:00";"Grid";"OTHERS";"Others";"Electrical";"Grid breaker auto tripped due to Grid Failed from Dhaurhara Substation ,Grid resumed and STG synced with grid.";"2025-12-20 10:17:41";"2025-12-20 10:17:41"
"2025-12-20";"2025-12-20 18:48:00";"2025-12-20 18:49:00";"Grid";"OTHERS";"Others";"Electrical";"Grid breaker auto tripped due to GRID fluctuation.";"2025-12-21 10:24:49";"2025-12-21 10:24:49"
"2025-12-20";"2025-12-20 18:48:00";"2025-12-20 18:49:00";"Grid";"OTHERS";"Others";"Electrical";"Grid breaker auto tripped due to heavy jerk observed from grid side ,Again STG synced with grid.";"2025-12-22 10:24:10";"2025-12-22 10:24:10"
"2025-12-22";"2025-12-23 05:43:00";"2025-12-23 05:52:00";"Grid";"132 KV TRANSMISSION LINE";"Others";"Electrical";"Grid breaker auto tripped due to Grid Failure from Nighasan Substation, Grid resumed.";"2025-12-23 10:21:25";"2025-12-23 10:21:25"
"2025-12-23";"2025-12-23 14:14:00";"2025-12-23 14:39:00";"Grid";"132 KV SWITCHYARD";"SF-6 Breaker";"Electrical";"Grid breaker manually tripped due to SF6 breaker testing purpose at dhaurahra substation.";"2025-12-24 17:52:18";"2025-12-24 17:52:18"
"2025-12-26";"2025-12-26 20:00:00";"2025-12-26 20:01:00";"Grid";"132 KV TRANSMISSION LINE";"Others";"Electrical";"Grid breaker auto tripped due to heavy jerk observed from Grid side.";"2025-12-27 10:41:44";"2025-12-27 10:41:44"
"2025-12-28";"2025-12-29 06:28:00";"2025-12-29 06:38:00";"Grid";"OTHERS";"Others";"Electrical";"Grid breaker auto tripped due to heavy jerk observed from Grid side.";"2025-12-29 14:54:50";"2025-12-29 14:54:50"
"2026-01-03";"2026-01-03 10:12:00";"2026-01-03 03:20:00";"3MW Turbine (New)";"MILL - GENERAL CLEANING";"Others";"Other";"3MW New STG manually Stopped at 10:12AM due to Schedule Mill General cleaning , again synced at 03:20PM ";"2026-01-04 12:06:41";"2026-01-04 12:06:41"
"2026-01-03";"2026-01-03 12:08:00";"2026-01-03 15:34:00";"3MW Turbine (Old)";"MILL - GENERAL CLEANING";"Others";"Other";"3MW Old TG manually stopped at 12:08 PM due to Schedule Mill General cleaning , again synced at 03:34 PM";"2026-01-04 12:08:03";"2026-01-04 12:08:03"
"2026-01-03";"2026-01-03 10:17:00";"2026-01-03 14:40:00";"35 TPH Boiler & 4MW Turbine";"FUEL HANDLING SYSTEM";"New Belt Conveyor-4 (NBC-4)";"Mechanical";"4.00 MW STG Set manually stopped due to attend scheduled Maintenance work of 35TPH Boiler.";"2026-01-04 12:09:25";"2026-01-04 12:09:25"
"2026-01-07";"2026-01-08 00:07:00";"2026-01-08 00:08:00";"Grid";"OTHERS";"Others";"Electrical";"Grid breaker auto tripped due to heavy jerk observed from Grid side.";"2026-01-08 11:04:17";"2026-01-08 11:04:17"
"2026-01-14";"2026-01-14 22:59:00";"2026-01-14 23:17:00";"Grid";"OTHERS";"Others";"Electrical";"Grid Failed from Dhaurhara Substation.";"2026-01-15 11:06:43";"2026-01-15 11:06:43"
"2026-01-14";"2026-01-15 00:05:00";"2026-01-15 00:18:00";"Grid";"OTHERS";"Others";"Electrical";"Grid Failed from Dhaurhara Substation.
";"2026-01-15 11:07:51";"2026-01-15 11:07:51"
"2026-01-15";"2026-01-15 08:14:00";"2026-01-15 08:15:00";"Grid";"OTHERS";"Others";"Electrical";"GRID Fluctuation
";"2026-01-16 15:44:51";"2026-01-16 15:44:51"
"2026-01-15";"2026-01-16 06:12:00";"2026-01-16 06:21:00";"Grid";"132 KV TRANSMISSION LINE";"Transmission Line";"Electrical";"Grid Failed from Dhaurhara Substation.
";"2026-01-16 15:47:58";"2026-01-16 15:47:58"
"2026-01-16";"2026-01-16 10:34:00";"2026-01-16 10:36:00";"Grid";"OTHERS";"Others";"Electrical";"Grid Breaker auto tripped due to heavy jerk observed from grid side.";"2026-01-18 15:01:46";"2026-01-18 15:01:46"
"2026-01-23";"2026-01-24 01:36:00";"2026-01-24 01:37:00";"Grid";"OTHERS";"Others";"Electrical";"Grid Breaker auto tripped due to heavy jerk observed from grid side.";"2026-01-27 15:00:36";"2026-01-27 15:00:36"
"2026-01-29";"2026-01-27 06:31:00";"2026-01-30 03:19:00";"35 TPH Boiler & 4MW Turbine";"OTHERS";"Others";"Other";"4.00 MW STG Set and 35 TPH boiler taken shutdown for scheduled Maintenance work of Distillery Plant.";"2026-01-31 11:43:38";"2026-01-31 11:43:38"
"2026-01-29";"2026-01-29 10:40:00";"2026-01-30 01:37:00";"3MW Turbine (New)";"MILL - GENERAL CLEANING";"Others";"Other";"3MW New STG set taken shutdown for Scheduled  Mill cleaning.";"2026-01-31 11:46:36";"2026-01-31 11:46:36"
"2026-01-29";"2026-01-29 10:47:00";"2026-01-30 01:27:00";"3MW Turbine (Old)";"MILL - GENERAL CLEANING";"Others";"Other";"3 MW Old STG set stopped for Scheduled Mill cleaning.";"2026-01-31 11:48:48";"2026-01-31 11:48:48"
"2026-02-02";"2026-02-02 02:37:00";"2026-02-02 21:49:00";"35 TPH Boiler";"OTHERS";"Furnace Tubes, Boiler Bank, super Heater & Eco";"Mechanical";" 4.00MW STG Set Breaker manually Opened due to Boiler Economiser Tube leakage.";"2026-02-03 19:58:59";"2026-02-03 19:58:59"
"2026-02-05";"2026-02-05 16:25:00";"2026-02-05 16:26:00";"Grid";"OTHERS";"Others";"Electrical";"Grid Breaker auto tripped due to heavy jerk observed from grid side. ";"2026-02-06 09:53:01";"2026-02-06 09:53:01"
"2026-02-10";"2026-02-06 23:54:00";"2026-02-10 21:21:00";"35 TPH Boiler";"OTHERS";"Ash Handling System -3 (Economiser)";"Mechanical";" 4.00MW STG Set Breaker manually Opened due to Boiler Economiser Tube leakage.";"2026-02-11 09:44:26";"2026-02-11 09:44:26"
"2026-03-05";"2026-03-05 02:05:00";"2026-03-05 15:28:00";"3MW Turbine (Old)";"OTHERS";"Others";"Other";"3 MW Old TG stopped due to Mill Stopped for No Cane Condition.
";"2026-03-06 10:42:43";"2026-03-06 10:42:43"
"2026-03-05";"2026-03-05 00:50:00";"2026-03-05 16:05:00";"3MW Turbine (New)";"OTHERS";"Others";"Other";"3MW New STG stopped due to Mill Stopped for No Cane Condition.
";"2026-03-06 10:45:43";"2026-03-06 10:45:43"
"2026-03-13";"2026-03-13 07:26:00";"2026-03-13 09:35:00";"35 TPH Boiler";"FUEL HANDLING SYSTEM";"New Belt Conveyor-4 (NBC-4)";"Mechanical";"4.00MW STG Set Breaker manually Opened due to Bagasse Jamm in NBC-4.";"2026-03-14 09:37:23";"2026-03-14 09:37:23"
"2026-03-20";"2026-03-20 17:04:00";"2026-03-20 17:05:00";"Grid";"OTHERS";"Others";"Other";"Grid breaker auto tripped due to heavy jerk observed from Grid side and Bad weather conditions.";"2026-03-21 10:25:29";"2026-03-21 10:25:29"
"2026-03-20";"2026-03-21 06:42:00";"2026-03-21 09:06:00";"35 TPH Boiler & 4MW Turbine";"FUEL HANDLING SYSTEM";"Dist Belt Conveyor-5 (DBC-5)";"Mechanical";"4MW STG set stopped due to bagasse jamm at DBC-5 chute.";"2026-03-21 10:27:37";"2026-03-21 10:27:37"
"2026-03-22";"2026-03-22 17:04:00";"2026-03-22 17:05:00";"Grid";"OTHERS";"Others";"Other";"Grid breaker auto tripped due to heavy jerk observed from Grid side.";"2026-03-23 10:09:07";"2026-03-23 10:09:07"
"2026-03-24";"2026-03-25 01:15:00";"2026-03-25 01:17:00";"Grid";"132 KV TRANSMISSION LINE";"Transmission Line";"Electrical";"Grid breaker auto tripped due to heavy jerk observed from Grid side.";"2026-03-25 10:51:24";"2026-03-25 10:51:24"
"2026-04-01";"2026-04-01 19:27:00";"2026-04-01 19:28:00";"Grid";"132 KV TRANSMISSION LINE";"Others";"Electrical";"Grid Breaker auto tripped due to heavy jerk observed from grid side.";"2026-04-08 16:01:21";"2026-04-08 16:01:21"
"2026-04-01";"2026-04-01 19:35:00";"2026-04-01 20:30:00";"3MW Turbine (Old)";"TURBINE & GENERATOR";"Others";"Instrumentation";"3MW Old STG Breaker Tripped due to actuator issue.";"2026-04-08 16:04:57";"2026-04-08 16:04:57"
"2026-04-01";"2026-04-01 19:56:00";"2026-04-01 20:15:00";"3MW Turbine (New)";"TURBINE & GENERATOR";"Others";"Instrumentation";"3MW New STG Breaker Tripped due to actuator issue.";"2026-04-08 16:06:29";"2026-04-08 16:06:29"
"2026-04-01";"2026-04-02 03:18:00";"2026-04-02 18:10:00";"3MW Turbine (Old)";"TURBINE & GENERATOR";"HP Actuator";"Instrumentation";"3MW Old STG Breaker Tripped due to actuator issue.";"2026-04-08 16:09:13";"2026-04-08 16:09:13"
"2026-04-01";"2026-04-02 03:20:00";"2026-04-02 04:47:00";"3MW Turbine (New)";"TURBINE & GENERATOR";"HP Actuator";"Instrumentation";"3MW New STG Breaker Tripped due to actuator issue.";"2026-04-08 16:10:28";"2026-04-08 16:10:28"
"2026-04-03";"2026-04-03 09:42:00";"2026-04-03 09:43:00";"Grid";"132 KV TRANSMISSION LINE";"Others";"Electrical";"Grid breaker auto tripped due to heavy jerk observed from Grid side.";"2026-04-08 16:12:29";"2026-04-08 16:12:29"
"2026-04-06";"2026-04-06 08:08:00";"2026-04-06 08:09:00";"Grid";"132 KV TRANSMISSION LINE";"Others";"Electrical";"Grid breaker auto tripped due to heavy jerk observed from Grid side.";"2026-05-09 12:30:23";"2026-05-09 12:30:23"
